;1503.1;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a;FlorPanc27;VatS41-13
1503.1;0;154;154;151;152;151;4;72;74;157
Giunta;154;0;7;1;2;2;155;85;86;102
ModD4;154;7;0;6;7;7;155;91;92;105
Pet1505;151;1;6;0;1;1;152;86;87;101
Pet1515;152;2;7;1;0;2;153;87;88;101
Pet1519;151;2;7;1;2;0;152;86;87;102
SGall463;4;155;155;152;153;152;0;73;75;156
VatS41-13a;72;85;91;86;87;86;73;0;1;99
FlorPanc27;74;86;92;87;88;87;75;1;0;98
VatS41-13;157;102;105;101;101;102;156;99;98;0
;;;;;;;;;;
1503.1;0;151,54167;154,70833;150,54167;151,33333;151,41667;4;72,69643;73,55357;159,20833
Giunta;151,54167;0;7,08333;1;2,04167;2;152,29167;87,32143;88,17857;101,83333
ModD4;154,70833;7,08333;0;6,08333;6,875;6,95833;155,45833;90,4881;91,34524;105
Pet1505;150,54167;1;6,08333;0;1,04167;1;151,29167;86,32143;87,17857;100,83333
Pet1515;151,33333;2,04167;6,875;1,04167;0;1,91667;152,08333;87,1131;87,97024;101,625
Pet1519;151,41667;2;6,95833;1;1,91667;0;152,16667;87,19643;88,05357;101,70833
SGall463;4;152,29167;155,45833;151,29167;152,08333;152,16667;0;73,44643;74,30357;159,95833
VatS41-13a;72,69643;87,32143;90,4881;86,32143;87,1131;87,19643;73,44643;0;1;94,9881
FlorPanc27;73,55357;88,17857;91,34524;87,17857;87,97024;88,05357;74,30357;1;0;95,84524
VatS41-13;159,20833;101,83333;105;100,83333;101,625;101,70833;159,95833;94,9881;95,84524;0
;;;;;;;;;;
1503.1;;;;;;;;;;
Giunta;0;2,45833;-0,70833;0,45833;0,66667;-0,41667;0;-0,69643;0,44643;-2,20833
ModD4;2,45833;0;-0,08333;0;-0,04167;0;2,70833;-2,32143;-2,17857;0,16667
Pet1505;-0,70833;-0,08333;0;-0,08333;0,125;0,04167;-0,45833;0,5119;0,65476;0
Pet1515;0,45833;0;-0,08333;0;-0,04167;0;0,70833;-0,32143;-0,17857;0,16667
Pet1519;0,66667;-0,04167;0,125;-0,04167;0;0,08333;0,91667;-0,1131;0,02976;-0,625
SGall463;-0,41667;0;0,04167;0;0,08333;0;-0,16667;-1,19643;-1,05357;0,29167
VatS41-13a;0;2,70833;-0,45833;0,70833;0,91667;-0,16667;0;-0,44643;0,69643;-3,95833
FlorPanc27;-0,69643;-2,32143;0,5119;-0,32143;-0,1131;-1,19643;-0,44643;0;0;4,0119
VatS41-13;0,44643;-2,17857;0,65476;-0,17857;0,02976;-1,05357;0,69643;0;0;2,15476
