;1503.1;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13+13a;VatS41-13a;FlorPanc27
1503.1;0;116;121;116;116;116;4;118;84;74
Giunta;116;0;8;1;2;2;116;6;99;102
ModD4;121;8;0;7;8;8;121;12;100;103
Pet1505;116;1;7;0;1;1;116;5;99;102
Pet1515;116;2;8;1;0;2;116;6;100;103
Pet1519;116;2;8;1;2;0;116;6;99;102
SGall463;4;116;121;116;116;116;0;118;87;91
VatS41-13+13a;118;6;12;5;6;6;118;0;102;102
VatS41-13a;84;99;100;99;100;99;87;102;0;1
FlorPanc27;74;102;103;102;103;102;91;102;1;0
;;;;;;;;;;
1503.1;0;115,06042;118,04167;114,22187;115,18021;115,10729;4;117,84167;81,89286;83,60714
Giunta;115,06042;0;8,16875;1,06771;2,02604;1,95313;117,56042;5,90625;99,36994;101,08423
ModD4;118,04167;8,16875;0;7,33021;8,28854;8,21563;120,54167;10,95;102,35119;104,06548
Pet1505;114,22188;1,06771;7,33021;0;1;1,02083;116,72188;5,06771;98,5314;100,24568
Pet1515;115,18021;2,02604;8,28854;1;0;1,97917;117,68021;6,02604;99,48973;101,20402
Pet1519;115,10729;1,95313;8,21563;1,02083;1,97917;0;117,60729;5,95313;99,41682;101,1311
SGall463;4;117,56042;120,54167;116,72187;117,68021;117,60729;0;120,34167;84,39286;86,10714
VatS41-13+13a;117,84167;5,90625;10,95;5,06771;6,02604;5,95313;120,34167;0;102,15119;103,86548
VatS41-13a;81,89286;99,36994;102,35119;98,5314;99,48973;99,41682;84,39286;102,15119;0;1
FlorPanc27;83,60714;101,08423;104,06548;100,24568;101,20402;101,1311;86,10714;103,86548;1;0
