;1503.1;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13+13a;VatS41-13a;FlorPanc27
1503.1;0;155;150;152;152;155;39;164;127;109
Giunta;155;0;41;4;5;9;156;50;115;121
ModD4;150;41;0;37;38;42;164;84;136;124
Pet1505;152;4;37;0;1;5;156;46;113;113
Pet1515;152;5;38;1;0;6;154;47;114;114
Pet1519;155;9;42;5;6;0;160;51;117;116
SGall463;39;156;164;156;154;160;0;161;137;119
VatS41-13+13a;164;50;84;46;47;51;161;0;110;133
VatS41-13a;127;115;136;113;114;117;137;110;0;22
FlorPanc27;109;121;124;113;114;116;119;133;22;0
;;;;;;;;;;
1503.1;0;150,21615;170,5625;146,26302;147,16146;150,98438;39;158,1875;120,45536;120,16964
Giunta;150,21615;0;41,0599;4;4,97656;9,0026;155,59115;52,77865;115,2965;115,01079
ModD4;170,5625;41,0599;0;37,10677;38,00521;41,82813;175,9375;73,125;135,64286;135,35714
Pet1505;146,26302;4;37,10677;0;1,02344;5,04948;151,63802;48,82552;111,34338;111,05766
Pet1515;147,16146;4,97656;38,00521;1,02344;0;5,94792;152,53646;49,72396;112,24182;111,9561
Pet1519;150,98438;9,0026;41,82813;5,04948;5,94792;0;156,35938;53,54688;116,06473;115,77902
SGall463;39;155,59115;175,9375;151,63802;152,53646;156,35938;0;163,5625;125,83036;125,54464
VatS41-13+13a;158,1875;52,77865;73,125;48,82552;49,72396;53,54688;163,5625;0;123,26786;122,98214
VatS41-13a;120,45536;115,2965;135,64286;111,34338;112,24182;116,06473;125,83036;123,26786;0;22
FlorPanc27;120,16964;115,01079;135,35714;111,05766;111,9561;115,77902;125,54464;122,98214;22;0
