;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a;VatS41-13
1503.1;0;256;101;143;143;136;136;148;26;107;147
Flor232;256;0;260;244;322;247;246;249;252;284;309
FlorPanc27;101;260;0;124;125;118;119;121;108;18;83
Giunta;143;244;124;0;32;2;3;7;142;109;141
ModD4;143;322;125;32;0;30;31;35;153;115;142
Pet1505;136;247;118;2;30;0;1;5;137;108;139
Pet1515;136;246;119;3;31;1;0;6;138;109;139
Pet1519;148;249;121;7;35;5;6;0;139;111;142
SGall463;26;252;108;142;153;137;138;139;0;119;152
VatS41-13a;107;284;18;109;115;108;109;111;119;0;88
VatS41-13;147;309;83;141;142;139;139;142;152;88;0
;;;;;;;;;;;
1503.1;0;252,72222;131,76389;132,46858;154,88264;130,45295;131,22639;134,88264;26;129,57639;159,42014
Flor232;252,72222;0;260,02083;260,72552;283,13958;258,7099;259,48333;263,13958;255,27778;257,83333;287,67708
FlorPanc27;131,76389;260,02083;0;110,65469;133,06875;108,63906;109,4125;113,06875;134,31944;18;86,59375
Giunta;132,46858;260,72552;110,65469;0;32,21094;2;3,00781;7,08594;135,02413;108,46719;138,31094
ModD4;154,88264;283,13958;133,06875;32,21094;0;30,19531;30,96875;34,625;157,43819;130,88125;160,725
Pet1505;130,45295;258,7099;108,63906;2;30,19531;0;0,99219;5,07031;133,00851;106,45156;136,29531
Pet1515;131,22639;259,48333;109,4125;3,00781;30,96875;0,99219;0;5,84375;133,78194;107,225;137,06875
Pet1519;134,88264;263,13958;113,06875;7,08594;34,625;5,07031;5,84375;0;137,43819;110,88125;140,725
SGall463;26;255,27778;134,31944;135,02413;157,43819;133,00851;133,78194;137,43819;0;132,13194;161,97569
VatS41-13a;129,57639;257,83333;18;108,46719;130,88125;106,45156;107,225;110,88125;132,13194;0;84,40625
VatS41-13;159,42014;287,67708;86,59375;138,31094;160,725;136,29531;137,06875;140,725;161,97569;84,40625;0
