;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13a;VatS41-13
1503.1;0;338;74;154;154;151;152;151;4;72;157
Flor232;338;0;295;322;344;323;322;323;338;299;306
FlorPanc27;74;295;0;86;92;87;88;87;75;1;98
Giunta;154;322;86;0;7;1;2;2;155;85;102
ModD4;154;344;92;7;0;6;7;7;155;91;105
Pet1505;151;323;87;1;6;0;1;1;152;86;101
Pet1515;152;322;88;2;7;1;0;2;153;87;101
Pet1519;151;323;87;2;7;1;2;0;152;86;102
SGall463;4;338;75;155;155;152;153;152;0;73;156
VatS41-13a;72;299;1;85;91;86;87;86;73;0;99
VatS41-13;157;306;98;102;105;101;101;102;156;99;0
;;;;;;;;;;;
1503.1;0;347,59524;73,29167;151,69315;157,51086;151,22961;150,7869;151,96399;4;73,04167;145,8869
Flor232;347,59524;0;287,19643;323,51458;329,33229;323,05104;322,60833;323,78542;348,2619;286,94643;317,70833
FlorPanc27;73,29167;287,19643;0;91,29435;97,11205;90,8308;90,3881;91,56518;73,95833;1;85,4881
Giunta;151,69315;323,51458;91,29435;0;7,27604;0,99479;1,59375;1,72917;152,35982;91,04435;101,25625
ModD4;157,51086;329,33229;97,11205;7,27604;0;6;7,41146;7,14063;158,17753;96,86205;107,07396
Pet1505;151,22961;323,05104;90,8308;0,99479;6;0;1,13021;0,85938;151,89628;90,5808;100,79271
Pet1515;150,7869;322,60833;90,3881;1,59375;7,41146;1,13021;0;1,86458;151,45357;90,1381;100,35
Pet1519;151,96399;323,78542;91,56518;1,72917;7,14063;0,85938;1,86458;0;152,63065;91,31518;101,52708
SGall463;4;348,2619;73,95833;152,35982;158,17753;151,89628;151,45357;152,63065;0;73,70833;146,55357
VatS41-13a;73,04167;286,94643;1;91,04435;96,86205;90,5808;90,1381;91,31518;73,70833;0;85,2381
VatS41-13;145,8869;317,70833;85,4881;101,25625;107,07396;100,79271;100,35;101,52708;146,55357;85,2381;0
;;;;;;;;;;;
1503.1;0;-9,59524;0,70833;2,30685;-3,51086;-0,22961;1,2131;-0,96399;0;-1,04167;11,1131
Flor232;-9,59524;0;7,80357;-1,51458;14,66771;-0,05104;-0,60833;-0,78542;-10,2619;12,05357;-11,70833
FlorPanc27;0,70833;7,80357;0;-5,29435;-5,11205;-3,8308;-2,3881;-4,56518;1,04167;0;12,5119
Giunta;2,30685;-1,51458;-5,29435;0;-0,27604;0,00521;0,40625;0,27083;2,64018;-6,04435;0,74375
ModD4;-3,51086;14,66771;-5,11205;-0,27604;0;0;-0,41146;-0,14063;-3,17753;-5,86205;-2,07396
Pet1505;-0,22961;-0,05104;-3,8308;0,00521;0;0;-0,13021;0,14062;0,10372;-4,5808;0,20729
Pet1515;1,2131;-0,60833;-2,3881;0,40625;-0,41146;-0,13021;0;0,13542;1,54643;-3,1381;0,65
Pet1519;-0,96399;-0,78542;-4,56518;0,27083;-0,14063;0,14062;0,13542;0;-0,63065;-5,31518;0,47292
SGall463;0;-10,2619;1,04167;2,64018;-3,17753;0,10372;1,54643;-0,63065;0;-0,70833;9,44643
VatS41-13a;-1,04167;12,05357;0;-6,04435;-5,86205;-4,5808;-3,1381;-5,31518;-0,70833;0;13,7619
VatS41-13;11,1131;-11,70833;12,5119;0,74375;-2,07396;0,20729;0,65;0,47292;9,44643;13,7619;0
