;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13+13a;VatS41-13a
1503.1;0;406;93;199;198;196;197;200;27;205;104
Flor232;406;0;356;377;414;389;389;396;409;386;367
FlorPanc27;93;356;0;117;124;117;118;120;95;122;19
Giunta;199;377;117;0;32;2;3;7;198;32;112
ModD4;198;414;124;32;0;30;31;35;201;46;127
Pet1505;196;389;117;2;30;0;1;5;194;30;112
Pet1515;197;389;118;3;31;1;0;6;195;31;113
Pet1519;200;396;120;7;35;5;6;0;198;35;115
SGall463;27;409;95;198;201;194;195;198;0;205;102
VatS41-13+13a;205;386;122;32;46;30;31;35;205;0;103
VatS41-13a;104;367;19;112;127;112;113;115;102;103;0
;;;;;;;;;;;
1503.1;0;433,17609;94,05556;191,60187;208,83234;191,48078;192,41437;196,48859;27;190,73859;99,21181
Flor232;433,17609;0;356,80804;388,17578;405,40625;388,05469;388,98828;393,0625;433,06498;387,3125;353,78571
FlorPanc27;94,05556;356,80804;0;115,23382;132,46429;115,11272;116,04632;120,12054;93,94444;114,37054;22,84375
Giunta;191,60187;388,17578;115,23382;0;30,60547;2,01953;2,95313;7,02734;191,49076;30,23828;112,2115
ModD4;208,83234;405,40625;132,46429;30,60547;0;30,48438;31,41797;35,49219;208,72123;47,46875;129,44196
Pet1505;191,48078;388,05469;115,11272;2,01953;30,48438;0;0,99609;5;191,36967;30,11719;112,0904
Pet1515;192,41437;388,98828;116,04632;2,95313;31,41797;0,99609;0;6,00391;192,30326;31,05078;113,024
Pet1519;196,48859;393,0625;120,12054;7,02734;35,49219;5;6,00391;0;196,37748;35,125;117,09821
SGall463;27;433,06498;93,94444;191,49076;208,72123;191,36967;192,30326;196,37748;0;190,62748;99,10069
VatS41-13+13a;190,73859;387,3125;114,37054;30,23828;47,46875;30,11719;31,05078;35,125;190,62748;0;111,34821
VatS41-13a;99,21181;353,78571;22,84375;112,2115;129,44196;112,0904;113,024;117,09821;99,10069;111,34821;0
;;;;;;;;;;;
1503.1;0;-27,17609;-1,05556;7,39813;-10,83234;4,51922;4,58563;3,51141;0;14,26141;4,78819
Flor232;-27,17609;0;-0,80804;-11,17578;8,59375;0,94531;0,01172;2,9375;-24,06498;-1,3125;13,21429
FlorPanc27;-1,05556;-0,80804;0;1,76618;-8,46429;1,88728;1,95368;-0,12054;1,05556;7,62946;-3,84375
Giunta;7,39813;-11,17578;1,76618;0;1,39453;-0,01953;0,04687;-0,02734;6,50924;1,76172;-0,2115
ModD4;-10,83234;8,59375;-8,46429;1,39453;0;-0,48438;-0,41797;-0,49219;-7,72123;-1,46875;-2,44196
Pet1505;4,51922;0,94531;1,88728;-0,01953;-0,48438;0;0,00391;0;2,63033;-0,11719;-0,0904
Pet1515;4,58563;0,01172;1,95368;0,04687;-0,41797;0,00391;0;-0,00391;2,69674;-0,05078;-0,024
Pet1519;3,51141;2,9375;-0,12054;-0,02734;-0,49219;0;-0,00391;0;1,62252;-0,125;-2,09821
SGall463;0;-24,06498;1,05556;6,50924;-7,72123;2,63033;2,69674;1,62252;0;14,37252;2,89931
VatS41-13+13a;14,26141;-1,3125;7,62946;1,76172;-1,46875;-0,11719;-0,05078;-0,125;14,37252;0;-8,34821
VatS41-13a;4,78819;13,21429;-3,84375;-0,2115;-2,44196;-0,0904;-0,024;-2,09821;2,89931;-8,34821;0
