;1503.1;Flor232;FlorPanc27;Giunta;ModD4;Pet1505;Pet1515;Pet1519;SGall463;VatS41-13+13a;VatS41-13a
1503.1;0;338;74;154;154;151;152;151;4;153;72
Flor232;338;0;295;322;344;323;322;323;338;319;299
FlorPanc27;74;295;0;86;92;87;88;87;75;89;1
Giunta;154;322;86;0;7;1;2;2;155;7;85
ModD4;154;344;92;7;0;6;7;7;155;12;91
Pet1505;151;323;87;1;6;0;1;1;152;6;86
Pet1515;152;322;88;2;7;1;0;2;153;7;87
Pet1519;151;323;87;2;7;1;2;0;152;7;86
SGall463;4;338;75;155;155;152;153;152;0;154;73
VatS41-13+13a;153;319;89;7;12;6;7;7;154;0;88
VatS41-13a;72;299;1;85;91;86;87;86;73;88;0
;;;;;;;;;;;
1503.1;0;347,98413;73,30556;150,1935;156,30809;149,49559;149,75079;150,01642;4;147,90079;72,80556
Flor232;347,98413;0;286,82143;324,87604;330,99063;324,17813;324,43333;324,69896;348,87302;322,58333;286,32143
FlorPanc27;73,30556;286,82143;0;89,0308;95,14539;88,33289;88,5881;88,85372;74,19444;86,7381;1
Giunta;150,1935;324,87604;89,0308;0;7,40625;0,59375;1,91146;1,64583;151,08239;6,59271;88,5308
ModD4;156,30809;330,99063;95,14539;7,40625;0;6;8,02604;7,76042;157,19697;12,70729;94,64539
Pet1505;149,49559;324,17813;88,33289;0,59375;6;0;1,21354;0,94792;150,38447;5,89479;87,83289
Pet1515;149,75079;324,43333;88,5881;1,91146;8,02604;1,21354;0;1,73438;150,63968;6,15;88,0881
Pet1519;150,01642;324,69896;88,85372;1,64583;7,76042;0,94792;1,73438;0;150,90531;6,41563;88,35372
SGall463;4;348,87302;74,19444;151,08239;157,19697;150,38447;150,63968;150,90531;0;148,78968;73,69444
VatS41-13+13a;147,90079;322,58333;86,7381;6,59271;12,70729;5,89479;6,15;6,41563;148,78968;0;86,2381
VatS41-13a;72,80556;286,32143;1;88,5308;94,64539;87,83289;88,0881;88,35372;73,69444;86,2381;0
;;;;;;;;;;;
1503.1;0;-9,98413;0,69444;3,8065;-2,30809;1,50441;2,24921;0,98358;0;5,09921;-0,80556
Flor232;-9,98413;0;8,17857;-2,87604;13,00937;-1,17813;-2,43333;-1,69896;-10,87302;-3,58333;12,67857
FlorPanc27;0,69444;8,17857;0;-3,0308;-3,14539;-1,33289;-0,5881;-1,85372;0,80556;2,2619;0
Giunta;3,8065;-2,87604;-3,0308;0;-0,40625;0,40625;0,08854;0,35417;3,91761;0,40729;-3,5308
ModD4;-2,30809;13,00937;-3,14539;-0,40625;0;0;-1,02604;-0,76042;-2,19697;-0,70729;-3,64539
Pet1505;1,50441;-1,17813;-1,33289;0,40625;0;0;-0,21354;0,05208;1,61553;0,10521;-1,83289
Pet1515;2,24921;-2,43333;-0,5881;0,08854;-1,02604;-0,21354;0;0,26562;2,36032;0,85;-1,0881
Pet1519;0,98358;-1,69896;-1,85372;0,35417;-0,76042;0,05208;0,26562;0;1,09469;0,58437;-2,35372
SGall463;0;-10,87302;0,80556;3,91761;-2,19697;1,61553;2,36032;1,09469;0;5,21032;-0,69444
VatS41-13+13a;5,09921;-3,58333;2,2619;0,40729;-0,70729;0,10521;0,85;0,58437;5,21032;0;1,7619
VatS41-13a;-0,80556;12,67857;0;-3,5308;-3,64539;-1,83289;-1,0881;-2,35372;-0,69444;1,7619;0
